annual_income,monthly_income,loan_amount,existing_debts,debt_to_income_ratio,number_of_credit_cards,credit_utilization_ratio,payment_history,number_of_late_payments,loan_repayment_history,employment_length,age,savings_balance,previous_defaults,credit_history_length,creditworthiness
46400.0,3858.84,40600.0,3000.0,0.0647,2,0.316,Fair,4,Delayed,9.0,56,600.0,No,20.2,Bad
39100.0,3235.56,105200.0,4000.0,0.1023,3,0.288,,1,Delayed,11.1,69,9500.0,No,32.7,Good
84800.0,7005.68,13300.0,103400.0,1.2193,1,0.779,Good,3,Delayed,29.9,46,800.0,Yes,11.1,Bad
21600.0,1699.39,7100.0,3000.0,0.1389,4,0.59,Poor,4,Delayed,8.4,32,5800.0,No,4.9,Bad
102900.0,9111.93,32000.0,47300.0,0.4597,2,1.0,Fair,5,Defaulted,0.4,60,21300.0,Yes,27.4,Bad
66900.0,5736.43,10400.0,11900.0,0.1779,1,0.677,Excellent,3,Delayed,4.2,25,2600.0,No,1.0,Good
80500.0,6495.1,12300.0,48200.0,0.5988,2,0.9,Fair,4,Mostly Paid,19.6,38,23900.0,No,15.1,Good
85000.0,7611.2,82700.0,31000.0,0.3647,1,0.597,Poor,3,Defaulted,7.6,56,1700.0,No,15.9,Bad
68700.0,5644.0,5300.0,500.0,0.0073,3,0.245,Excellent,2,Delayed,42.4,75,24600.0,Yes,26.3,Good
76800.0,6464.23,64400.0,8000.0,0.1042,3,0.188,Excellent,0,All Paid,11.3,36,5200.0,No,10.3,Good
94800.0,8087.92,30500.0,23200.0,0.2447,2,0.365,Good,1,Delayed,0.9,40,22600.0,No,6.7,Good
110900.0,8934.08,33700.0,86700.0,0.7818,4,0.769,Fair,3,Mostly Paid,8.4,28,57600.0,No,5.7,Good
104500.0,8542.87,44000.0,3400.0,0.0325,4,0.378,Fair,3,Mostly Paid,,28,9200.0,No,6.4,Good
152400.0,13029.63,24800.0,42000.0,0.2756,1,0.583,Good,2,Delayed,19.3,41,21800.0,No,4.4,Good
33700.0,2763.37,9300.0,3600.0,0.1068,2,0.217,Good,1,All Paid,27.8,70,4700.0,No,24.6,Good
53300.0,4641.4,8800.0,35200.0,0.6604,3,0.905,Fair,3,Delayed,36.4,53,2300.0,No,11.9,Bad
211900.0,17567.64,54100.0,92100.0,0.4346,3,0.817,Poor,3,Delayed,36.5,57,38300.0,Yes,19.6,Good
52800.0,4380.99,13700.0,7300.0,0.1383,3,0.505,Poor,2,Mostly Paid,11.3,41,14800.0,No,2.8,Good
28700.0,2748.72,6000.0,1600.0,0.0557,2,0.341,Excellent,1,Delayed,1.0,20,14800.0,Yes,1.9,Bad
68400.0,5787.5,141300.0,200.0,0.0029,1,0.204,Good,1,Mostly Paid,16.3,39,26500.0,No,4.8,Good
27500.0,2222.7,142600.0,8000.0,0.2909,2,0.533,Good,2,Defaulted,48.8,70,4400.0,No,30.9,Bad
34700.0,2754.99,21600.0,5400.0,0.1556,5,0.796,Good,3,Delayed,2.4,19,9300.0,Yes,1.3,Bad
300000.0,24881.62,5900.0,34000.0,0.1133,6,0.218,Good,1,Mostly Paid,14.2,41,97300.0,No,15.0,Good
70700.0,6139.98,50500.0,89800.0,1.2702,2,0.936,Excellent,4,Delayed,5.8,61,10100.0,No,29.6,Bad
41700.0,3628.1,67200.0,7900.0,0.1894,4,0.225,Fair,3,All Paid,11.3,47,1500.0,No,9.5,Bad
300000.0,24770.26,9700.0,120000.0,0.4,4,0.624,Excellent,3,Delayed,19.9,55,35100.0,No,29.5,Good
240900.0,20092.44,10100.0,14100.0,0.0585,1,0.504,Excellent,4,Mostly Paid,1.9,19,89500.0,Yes,0.5,Good
57800.0,4803.3,65500.0,200.0,0.0035,5,0.348,Fair,2,Mostly Paid,13.9,38,,No,9.2,Good
39600.0,3363.22,94200.0,6400.0,0.1616,4,0.818,Fair,5,Defaulted,1.0,50,10700.0,Yes,9.5,Bad
138500.0,11420.95,59700.0,45500.0,0.3285,0,1.0,Good,5,Delayed,8.8,29,6200.0,No,7.4,Good
101700.0,8694.56,12800.0,21600.0,0.2124,3,0.389,Fair,5,Delayed,36.4,75,68300.0,No,38.5,Good
95500.0,7958.07,23600.0,63400.0,0.6639,6,0.958,Good,4,Defaulted,19.9,39,10400.0,Yes,14.9,Bad
165300.0,13849.69,37100.0,28200.0,0.1706,0,0.466,Fair,1,Defaulted,25.6,61,35600.0,No,13.5,Good
96000.0,7843.06,11100.0,10700.0,0.1115,4,0.738,Good,2,Mostly Paid,0.8,42,900.0,No,7.3,Good
41700.0,3328.14,13300.0,31000.0,0.7434,1,0.653,Fair,5,Mostly Paid,34.5,66,1600.0,No,28.1,Bad
96900.0,8606.5,16600.0,15200.0,0.1569,3,0.561,Fair,2,Mostly Paid,5.5,44,30000.0,No,20.2,Good
43700.0,4001.68,29900.0,4100.0,0.0938,2,0.236,Good,0,Mostly Paid,36.1,59,30600.0,No,11.7,Good
112600.0,9369.4,30000.0,3500.0,0.0311,0,0.471,Excellent,1,Delayed,20.8,45,9200.0,No,20.6,Good
82800.0,7206.6,63900.0,39200.0,0.4734,5,0.855,Fair,5,Delayed,4.4,33,1100.0,Yes,8.2,Bad
25200.0,2342.55,53900.0,13200.0,0.5238,2,0.675,Good,4,Mostly Paid,0.5,32,2800.0,Yes,9.2,Bad
66700.0,5433.29,90800.0,700.0,0.0105,4,0.463,Good,4,Defaulted,13.8,64,700.0,No,19.2,Bad
47300.0,3796.68,67600.0,6300.0,0.1332,2,0.323,Good,1,Mostly Paid,11.6,68,2500.0,No,33.9,Good
45900.0,3958.74,15300.0,19100.0,0.4161,4,0.634,Fair,3,Delayed,41.2,61,13300.0,Yes,34.3,Good
79900.0,6710.35,19100.0,70100.0,0.8773,3,0.566,Good,4,Delayed,19.6,72,44700.0,No,12.1,Bad
45300.0,3694.6,29300.0,6400.0,0.1413,4,0.321,Good,1,All Paid,52.4,69,1300.0,No,19.2,Good
117500.0,9935.91,5500.0,72500.0,0.617,1,,Fair,5,Mostly Paid,49.5,74,19700.0,No,40.1,Good
24800.0,1778.17,87000.0,3700.0,0.1492,0,0.289,Fair,2,Mostly Paid,3.0,20,2000.0,No,0.7,Good
90200.0,7539.67,6600.0,5400.0,0.0599,8,0.155,Excellent,0,All Paid,33.2,54,3200.0,No,14.4,Good
127700.0,10393.88,18600.0,100.0,0.0008,3,0.128,Excellent,0,All Paid,24.3,68,6800.0,No,11.0,Good
92600.0,7475.47,34500.0,11100.0,0.1199,3,0.591,Fair,4,Defaulted,1.7,24,16500.0,No,3.9,Bad
64700.0,5250.31,30500.0,9200.0,0.1422,4,0.399,Poor,3,Delayed,6.0,38,1400.0,Yes,5.6,Bad
215100.0,17997.66,42200.0,120000.0,0.5579,2,0.74,Good,4,Delayed,7.4,26,25000.0,No,3.3,Bad
43200.0,3464.95,31200.0,3000.0,0.0694,2,,Fair,3,Mostly Paid,22.9,56,1800.0,No,17.3,Good
21300.0,1531.38,14100.0,3100.0,0.1455,3,0.423,Poor,3,Delayed,11.1,35,1900.0,Yes,5.5,Bad
56800.0,4828.78,12900.0,400.0,0.007,1,0.216,Good,1,Delayed,3.5,21,2900.0,No,2.3,Good
22200.0,2148.55,88200.0,9600.0,0.4324,3,0.673,Poor,3,Defaulted,22.8,42,10000.0,Yes,4.4,Bad
220100.0,18469.44,15700.0,120000.0,0.5452,5,0.851,Fair,3,All Paid,13.9,31,54700.0,No,10.0,Bad
35300.0,3302.03,16500.0,2900.0,0.0822,4,0.168,Excellent,0,All Paid,44.7,67,14800.0,No,21.8,Good
121100.0,10373.5,23600.0,20400.0,0.1685,8,0.338,Excellent,2,Mostly Paid,51.7,75,12200.0,No,29.1,Good
116800.0,9635.85,10300.0,4600.0,0.0394,4,0.302,Poor,1,Delayed,1.8,26,9300.0,No,4.8,Good
